birthplace;person;party;race_ethnicity
USA        ;Thomas Mitchell     ;Democratic                                   ;White
England    ;Tilda Swinton       ;Republican                                   ;White
USA        ;Tim Robbins         ;Republican                                   ;White
USA        ;Timothy Hutton      ;Republican                                   ;White
USA        ;Tom Hanks           ;Democratic                                   ;White
USA        ;Tom Hanks           ;Democratic                                   ;White
USA        ;Tom Hanks           ;Democratic                                   ;White
England    ;Tom Hooper          ;Democratic                                   ;White
USA        ;Tommy Lee Jones     ;Democratic                                   ;White
England    ;Tony Richardson     ;Democratic                                   ;White
USA        ;Van Heflin          ;Democratic                                   ;White
USA        ;Van Heflin          ;Democratic                                   ;White
England    ;Vanessa Redgrave    ;Democratic                                   ;White
USA        ;Victor Fleming      ;Democratic                                   ;White
England    ;Victor McLaglen     ;Democratic                                   ;White
USA        ;Vincente Minnelli   ;Republican                                   ;White
India      ;Vivien Leigh        ;Democratic                                   ;White
India      ;Vivien Leigh        ;Democratic                                   ;White
USA        ;Wallace Beery       ;Republican                                   ;White
USA        ;Walter Brennan      ;Democratic                                   ;White
USA        ;Walter Brennan      ;Democratic                                   ;White
USA        ;Walter Brennan      ;Republican                                   ;White
Canada     ;Walter Huston       ;Democratic                                   ;White
USA        ;Walter Matthau      ;Democratic                                   ;White
USA        ;Warner Baxter       ;Republican                                   ;White
USA        ;Warren Beatty       ;Republican                                   ;White
England    ;Wendy Hiller        ;Republican                                   ;White
USA        ;Whoopi Goldberg     ;Republican                                   ;Black
USA        ;William Friedkin    ;Republican                                   ;White
USA        ;William Holden      ;Republican                                   ;White
USA        ;William Hurt        ;Republican                                   ;White
France     ;William Wyler       ;Democratic                                   ;White
France     ;William Wyler       ;Democratic                                   ;White
France     ;William Wyler       ;Republican                                   ;White
USA        ;Woody Allen         ;Democratic                                   ;White
Russia     ;Yul Brynner         ;Republican                                   ;White
